system:index,priority_ranking,watershed_threshold,.geo
2_027c0000000000001868,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.94241991879274,44.540742006289044],[-89.9408023984091,44.54086944479566],[-89.94078992827343,44.54086886350821],[-89.9407836575751,44.54086857284557],[-89.93917155530042,44.540795369802254],[-89.93913129285085,44.54124451692375],[-89.9393572608485,44.54131282717354],[-89.93936980271035,44.541313408649366],[-89.93937564607641,44.541318082316195],[-89.93938148944159,44.54132282783725],[-89.9393936037324,44.54132786409388],[-89.93939944709484,44.541332609613036],[-89.93940529045639,44.54133735513141],[-89.93973893067277,44.54167395484441],[-89.94110673972135,44.54146377257039],[-89.94111336665352,44.541459608397915],[-89.9411258366841,44.541460189642876],[-89.9411321073265,44.54146048028314],[-89.94113837796787,44.54146069906828],[-89.9424257616943,44.5415862364945],[-89.94241991879274,44.540742006289044]]]}"
2_027c000000000000186a,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.9457983212217,44.54133746718703],[-89.94579910495659,44.54132862939409],[-89.94579988869147,44.54131971974448],[-89.94580031618321,44.54131526493587],[-89.94584498904406,44.54081718444026],[-89.94481465006238,44.540832932344735],[-89.94455622379382,44.54161595693985],[-89.94462512338553,44.54196742956047],[-89.94462469588069,44.541971884302704],[-89.9446239121218,44.54198072196633],[-89.94462348461694,44.54198517670729],[-89.94462270085803,44.541994086222374],[-89.94462234460397,44.541998540996495],[-89.94461529077299,44.54200716006331],[-89.94460866444571,44.54201132439008],[-89.94460780943565,44.542020233865664],[-89.9446011831071,44.542024398190854],[-89.94459455677739,44.54202856251529],[-89.94458166036898,44.54203243639155],[-89.94457496278501,44.542036600679694],[-89.94456833645077,44.54204076500152],[-89.94455544003354,44.54204463887382],[-89.94454916995069,44.542044348424696],[-89.94453627352702,44.54204822229453],[-89.94409330367967,44.54209061640176],[-89.94373811184067,44.543043430213324],[-89.94419091851364,44.54317118938768],[-89.94453662978188,44.54295465056321],[-89.94455971508947,44.54269671053385],[-89.94456049884967,44.54268780115263],[-89.94456719643617,44.54268370877612],[-89.94456798019621,44.54267479939238],[-89.94457460653051,44.54267063512689],[-89.9445753902904,44.542661725740615],[-89.94458208787431,44.542657561507994],[-89.94458914171142,44.542648942562764],[-89.94459576804205,44.542644778293756],[-89.94460239437154,44.54264061402399],[-89.94461529077299,44.54263674019568],[-89.94462191709911,44.54263257592407],[-89.94477631729877,44.54259047269827],[-89.94478508111241,44.54249261294819],[-89.94478586486801,44.54248370352665],[-89.94478664862359,44.54247486595666],[-89.94478707612663,44.54247041126157],[-89.94479412992602,44.5424617922693],[-89.94479448617848,44.54245733753863],[-89.94480118372414,44.542453173275014],[-89.94480816627048,44.54244455424438],[-89.94481486381373,44.542440389978836],[-89.94482149010538,44.54243622567821],[-89.94483438643316,44.5424323518083],[-89.94484101272143,44.54242818750584],[-89.94484728275658,44.54242847793662],[-89.94486017907569,44.54242460406317],[-89.94486644910772,44.542424894492925],[-89.94487891791837,44.542425475317145],[-89.94580964975174,44.54240069866322],[-89.94596119523739,44.541760121345824],[-89.9457983212217,44.54133746718703]]]}"
2_027c000000000000186c,1,0.02,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-89.95111377504297,44.54069014929242],[-89.95111297854501,44.54069904354311]]},{""type"":""Polygon"",""coordinates"":[[[-89.9524423925785,44.54161662657245],[-89.95243655120288,44.54161195360176],[-89.95242408484948,44.54161137359081],[-89.9524178160531,44.54161108357003],[-89.95240570587536,44.541606048721505],[-89.95239950831234,44.54160575872927],[-89.95238739812883,44.541600795732826],[-89.95238155674483,44.54159605090317],[-89.95237564412352,44.541591306043145],[-89.95236980273773,44.541586561211936],[-89.95236438876962,44.54157743342605],[-89.95235854738212,44.541572688592865],[-89.9523527059937,44.5415679437589],[-89.95235348959464,44.54155903410929],[-89.95234764820547,44.541554289273684],[-89.9523484318065,44.54154545147618],[-89.95234921540754,44.541536541822325],[-89.95235918851004,44.54142531478964],[-89.95194380659385,44.54108950615269],[-89.95138145594028,44.541063975874955],[-89.95136891800551,44.54106339571215],[-89.95136307646632,44.54105865077625],[-89.95135060976384,44.54105814249703],[-89.95134434079193,44.541057852414085],[-89.95133223027509,44.541052817392725],[-89.95132638873031,44.541048072453876],[-89.95132054718464,44.54104332751426],[-89.95131470563807,44.54103858257387],[-89.9513088640906,44.541033909488135],[-89.95130302254228,44.541029164546195],[-89.9512975371851,44.54101996471579],[-89.95129169563502,44.54101521977186],[-89.95129247925765,44.54100638188012],[-89.95128663770681,44.54100163693456],[-89.95128742132952,44.54099272718479],[-89.9512878487601,44.54098827232441],[-89.95130736808441,44.5407703423195],[-89.95120734925187,44.54076584471778],[-89.95119488249878,44.540765264562594],[-89.95118861350139,44.540764974469326],[-89.95117614674218,44.54076439431208],[-89.95117030517362,44.540759721192],[-89.9511581946018,44.54075468612028],[-89.95115192559842,44.54075439602493],[-89.95114608402616,44.54074965104673],[-89.9511339734467,44.540744615971356],[-89.95112855930407,44.54073548796338],[-89.95112271772824,44.540730742982085],[-89.95112307392192,44.54072628806706],[-89.95111765977772,44.54071708819906],[-89.95111181820026,44.54071241507129],[-89.95111260182655,44.54070350526781],[-89.95111295802032,44.54069905035024],[-89.95110633281573,44.54070321516965],[-89.95110554918928,44.54071212497314],[-89.95109892398341,44.54071628979097],[-89.95109806911805,44.540725127705606],[-89.95109144391087,44.54072929252183],[-89.95108481870255,44.54073345733732],[-89.95107776606017,44.54074207703543],[-89.95107114084949,44.54074624184898],[-89.95105824661897,44.54075011656128],[-89.95105197759923,44.54074982646042],[-89.95104535238409,44.54075399127179],[-89.951032386906,44.54075793780598],[-89.95102618912095,44.540757647734196],[-89.95101365106999,44.54075706752873],[-89.95100745328192,44.54075677745593],[-89.95050129720765,44.54073378164585],[-89.95048883022496,44.54073327326929],[-89.95048256111214,44.54073298313715],[-89.95047009412335,44.54073240290261],[-89.95046425244719,44.54072765788742],[-89.95045214165235,44.54072262273758],[-89.95044587253352,44.54072233260338],[-89.95030852158187,44.54064466866695],[-89.95030773793914,44.540653578476025],[-89.95030695429638,44.5406624882834],[-89.95030025771223,44.54066665302849],[-89.95029947406934,44.540675562833336],[-89.95029284872416,44.54067972760771],[-89.9502920650811,44.54068856555405],[-89.95028543973464,44.540692730326846],[-89.95027838694523,44.540701349983124],[-89.95027169035608,44.540705514723086],[-89.9502650650061,44.54070967949319],[-89.95025217050448,44.540713554117666],[-89.95024554515112,44.54071771888592],[-89.95003923249968,44.54077985633059],[-89.95002669412595,44.54077927601729],[-89.95002006873365,44.54078344076666],[-89.95000753035366,44.540782860451294],[-89.95000133240295,44.54078257032418],[-89.94999506321041,44.54078228016564],[-89.9499825960631,44.54078169987862],[-89.94868926779954,44.54065157188506],[-89.94675895443014,44.54076939742068],[-89.94671314268302,44.54128077144469],[-89.94681310199222,44.54128534474694],[-89.94681894422462,44.54129008989196],[-89.94683141240051,44.54129059866231],[-89.94683768211031,44.541290888991014],[-89.94684979404676,44.54129592446224],[-89.94685606375353,44.54129621478992],[-89.94686810443754,44.54130125022559],[-89.94687401790819,44.541305923544186],[-89.9468798601313,44.54131066868402],[-89.94688570235353,44.54131541382307],[-89.94689111709528,44.541324613773604],[-89.9468969593158,44.54132935891067],[-89.9469028015354,44.541334032191976],[-89.94690201782306,44.54134294184653],[-89.94690786004192,44.54134768698119],[-89.94690707632968,44.541356596633186],[-89.94690629261744,44.54136543442855],[-89.94687444538795,44.541721243982906],[-89.94712437774446,44.54173256885048],[-89.94752876883723,44.54142054640016],[-89.94753582213241,44.54141192704573],[-89.94754244795396,44.5414077624961],[-89.94755534336684,44.54140388823442],[-89.94756161295827,44.54140417852279],[-89.94756823877537,44.54140001397097],[-89.94758113417959,44.541396067850854],[-89.94758740376679,44.54139635813786],[-89.94759987169287,44.54139693867825],[-89.94761233961489,44.54139751921728],[-89.94811226432545,44.541420237223114],[-89.9481247320809,44.541420745851184],[-89.94813100157923,44.541421036108254],[-89.94814346932857,44.54142161658913],[-89.9481493113583,44.541426361652526],[-89.94816185034593,44.54142694216356],[-89.94816769237285,44.54143168722549],[-89.94817353439888,44.541436360431796],[-89.94818564591343,44.54144139574612],[-89.94862985087772,44.541805395279326],[-89.95096691829846,44.542049860624616],[-89.95156631876402,44.54187163009113],[-89.95157921282367,44.54186775541433],[-89.95158548175719,44.54186804547947],[-89.95159210687899,44.54186388073577],[-89.95160464474077,44.54186446086432],[-89.95161091367012,44.54186475092808],[-89.95162338028796,44.54186525917031],[-89.95162964921424,44.54186554923303],[-89.95211064377466,44.54195880229802],[-89.95261571006242,44.54192366003381],[-89.95264235230242,44.54162576304792],[-89.9524423925785,44.54161662657245]]]}]}"
2_027c000000000000186f,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.95452756433058,44.540961076889836],[-89.95438196501279,44.54090533093245],[-89.9543761239327,44.54090058613421],[-89.95437028285176,44.54089591319084],[-89.95435817329086,44.54089087847212],[-89.95435233220716,44.540886133671194],[-89.9543468472863,44.54087693395862],[-89.9543410062009,44.540872261011415],[-89.95434178976119,44.54086335121593],[-89.95433594867501,44.54085860641138],[-89.9543367322354,44.54084969661334],[-89.95433089114844,44.540844951807166],[-89.95433167470894,44.540836113862305],[-89.95434599249339,44.540675952814475],[-89.95404460556394,44.54060871880643],[-89.95325803933756,44.540635562305255],[-89.9533141722928,44.54091941577132],[-89.95331338871152,44.54092832554905],[-89.95331296130352,44.54093278042278],[-89.9533121777222,44.540941690197954],[-89.95331139414087,44.54095059997145],[-89.9533046980815,44.54095476486682],[-89.95330391450001,44.540963602782206],[-89.95329728967404,44.54096776770501],[-89.95329023743868,44.54097638749656],[-89.95328361261036,44.540980552417444],[-89.95327691654614,44.540984717308525],[-89.95327029171551,44.5409888822279],[-89.95326366688373,44.540993047146515],[-89.95325077339062,44.54099692208545],[-89.95309605113525,44.541043493069836],[-89.95296782779845,44.54156460511195],[-89.95305530465471,44.541568521127715],[-89.95306114593605,44.5415732659258],[-89.95307361208226,44.54157384586784],[-89.95307988077141,44.54157413585293],[-89.95309199073616,44.54157917063359],[-89.95309825942229,44.54157938876301],[-89.9531102981462,44.54158442351203],[-89.95311621065419,44.54158916833483],[-89.95312205192624,44.54159391312773],[-89.9531278931974,44.541598657919835],[-89.95313373446768,44.54160333085659],[-89.95313957573707,44.541608075647154],[-89.95314506083069,44.541617275274156],[-89.95314463342082,44.541621730081815],[-89.9531501185137,44.541630857851366],[-89.95321444363539,44.54189279318734],[-89.95376508505512,44.542190132565935],[-89.9537709262283,44.542194877265],[-89.95377676740058,44.54219962196328],[-89.95378260857198,44.54220429480712],[-89.95378809357358,44.54221349428649],[-89.95379393474326,44.54221823898202],[-89.95379977591203,44.542222983676766],[-89.95379899234067,44.542231893210314],[-89.95380483350867,44.54223656604981],[-89.95380404993742,44.54224547558081],[-89.95380319513238,44.5422543850814],[-89.95378410448158,44.54246785389424],[-89.95392158544844,44.54247408863176],[-89.95400571215956,44.54237518039974],[-89.95401276426328,44.54236656082114],[-89.9540193889656,44.542362395981144],[-89.95402608490012,44.54235823116897],[-89.95403313700008,44.54234961158599],[-89.95403976169888,44.542345446743305],[-89.95404603023002,44.54234573667076],[-89.9540589234556,44.54234186175377],[-89.95406554814996,44.542337696908916],[-89.95407801396952,44.54233827673222],[-89.95409055101827,44.54233885658268],[-89.95409674830789,44.542339146478874],[-89.95449672068564,44.54235726934195],[-89.95452756433058,44.540961076889836]]]}"
2_027c0000000000001870,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.95625697693791,44.54070457825297],[-89.95610540091444,44.54141660744008],[-89.95623503834005,44.54193149431979],[-89.95641624508359,44.54193968288466],[-89.95660229451215,44.5418231341915],[-89.95660898999542,44.54181896918028],[-89.956615614249,44.541814804141296],[-89.95662850661019,44.54181092889091],[-89.95663477471794,44.54181121867989],[-89.9566476670727,44.54180734342704],[-89.95665393517731,44.54180756136073],[-89.95666640015503,44.54180814090867],[-89.95667266825657,44.541808430695596],[-89.9566851332282,44.541809010241494],[-89.95669766942414,44.54180958981293],[-89.95670386629222,44.541809879571225],[-89.95697282364662,44.54188902048845],[-89.95735374836455,44.54183929606502],[-89.95736621311464,44.54183987553638],[-89.95737248110173,44.541840165284796],[-89.95738494584572,44.541840744754104],[-89.95739121382974,44.541841034501495],[-89.9574037497947,44.541841542141],[-89.9574099465486,44.541841831860886],[-89.95741578716628,44.54184657640932],[-89.95742789576111,44.54185161070229],[-89.9574341637381,44.541851900447256],[-89.95744000435211,44.541856644993445],[-89.95744584496524,44.54186131768466],[-89.95745132944258,44.54187051705603],[-89.95745717005397,44.54187526159946],[-89.95761579217164,44.54206551796336],[-89.95787199363953,44.54207710904519],[-89.95803061404006,44.54135646752104],[-89.95803097016955,44.54135201264367],[-89.9580317536544,44.54134317476874],[-89.9580384488879,44.54133900963121],[-89.95804550024961,44.54133038961346],[-89.95804585637894,44.541325934733564],[-89.95805290773929,44.541317314712956],[-89.95806579961695,44.54131343925952],[-89.95807242361869,44.5413092740913],[-89.95807911884509,44.54130510894838],[-89.95809201071393,44.54130123349098],[-89.95865312332168,44.54113020641338],[-89.95868731118148,44.540747731380705],[-89.95625697693791,44.54070457825297]]]}"
2_027c0000000000001871,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.96397822701219,44.5417061961057],[-89.96397203132062,44.54170590674045],[-89.96395949750473,44.541705399818596],[-89.96394703489962,44.541704821063334],[-89.96394112406264,44.54170007681109],[-89.96392866145156,44.54169949805375],[-89.96392282182669,44.54169475382245],[-89.96391028799468,44.54169417504064],[-89.96390444836702,44.54168950266231],[-89.96389860873845,44.54168475842875],[-89.96388692947865,44.541675269959306],[-89.96388101863238,44.54167052570098],[-89.96388144592251,44.54166614271198],[-89.96387596236559,44.5416569436081],[-89.96387012273269,44.54165219936981],[-89.9638001182835,44.54145256502314],[-89.96324378132695,44.54107910068876],[-89.96323794159765,44.54107435635984],[-89.96323210186748,44.54106961203014],[-89.9632262621364,44.54106493955507],[-89.96322077848568,44.541055740302006],[-89.96322120578316,44.54105128540263],[-89.96321572213172,44.541042086146646],[-89.96321650551054,44.541033248177506],[-89.96316166895406,44.54066461061377],[-89.95958138410981,44.54071233779153],[-89.95935959500174,44.541157692265756],[-89.95935289999908,44.54116185749671],[-89.95934592010143,44.541170477651306],[-89.95933922509636,44.5411746428803],[-89.95933217397275,44.54118326300645],[-89.95932555018878,44.54118742825879],[-89.95931892640365,44.54119159351037],[-89.95931223139388,44.541195758735924],[-89.95929933993558,44.54119963433949],[-89.95929314348723,44.541199344717946],[-89.95928025202251,44.54120322031907],[-89.9592739843475,44.5412029306712],[-89.95873731087151,44.541241181218936],[-89.95858432016135,44.5418995300418],[-89.95858346546292,44.54190843964414],[-89.95858310933859,44.541912894470414],[-89.95857605807582,44.54192151441426],[-89.95856943416113,44.54192567955725],[-89.95856865068728,44.541934517326176],[-89.9585619555464,44.54193868244183],[-89.95854906383566,44.54194255789945],[-89.95854243991633,44.54194672303901],[-89.95853581599583,44.541950888177816],[-89.95852285305132,44.54195476360571],[-89.95844550264295,44.54197808814446],[-89.95854500401427,44.542058528746196],[-89.95855084445897,44.54206320136099],[-89.95855668490276,44.54206794582888],[-89.95855625755324,44.542072400614174],[-89.95856174187166,44.542081599891056],[-89.9585675823138,44.54208634435653],[-89.95856679883991,44.54209518209518],[-89.9585663714905,44.54209963687791],[-89.9585655880166,44.542108546467865],[-89.95853417782175,44.542459898919454],[-89.96095845634055,44.54243129056024],[-89.96096472374,44.54243158010838],[-89.96439490277386,44.54251985509828],[-89.96447081689206,44.5416704944991],[-89.96397822701219,44.5417061961057]]]}"
2_027c0000000000001875,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.94791605694327,44.539969016950984],[-89.94791014363331,44.539964343553095],[-89.94789767580811,44.539963763028965],[-89.94789183374006,44.53995901780491],[-89.94787972213268,44.53995398230059],[-89.9478738800619,44.53994923707463],[-89.94786803799022,44.539944563705006],[-89.94786219591764,44.53993981847751],[-89.94785635384417,44.53993507324922],[-89.94785713753701,44.53992616332069],[-89.94785129546277,44.53992141809076],[-89.94784545338766,44.539916744717225],[-89.94784623708071,44.5399078347853],[-89.94784659330482,44.53990337980248],[-89.94784744824267,44.539894469900425],[-89.94785621135458,44.53979667614602],[-89.94772312582968,44.53974150090288],[-89.94678531575279,44.539564946405484],[-89.94640542596811,44.539744197709574],[-89.94639253016858,44.53974807197889],[-89.94638626038602,44.53974778161634],[-89.94637963436469,44.53975194624643],[-89.94636709479435,44.53975136551962],[-89.94636046876971,44.539755530148284],[-89.94635419898191,44.53975523978402],[-89.94634173065086,44.539754659087826],[-89.94594808554345,44.5397367971833],[-89.9459526454375,44.5406657630348],[-89.94859487036871,44.54058477527984],[-89.94863555034664,44.54013116353624],[-89.94791605694327,44.539969016950984]]]}"
2_027c0000000000001876,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.9388943492608,44.539340478977905],[-89.93878417890082,44.540567883076235],[-89.93968505816443,44.54066687541633],[-89.93969695857953,44.5405334448895],[-89.93970401331488,44.54052482585552],[-89.93970444087456,44.54052037099452],[-89.93970522473396,44.54051146123375],[-89.9397118519082,44.54050729705792],[-89.93971270702737,44.54049845918835],[-89.93971933420032,44.54049429501094],[-89.93972596137213,44.540490130832765],[-89.93973301610215,44.54048151178903],[-89.9397396432716,44.54047734760892],[-89.94037769893508,44.540149081340154],[-89.9403843259932,44.540144917093144],[-89.94039722381265,44.540141043534014],[-89.94040385086737,44.54013687928517],[-89.94041012162778,44.5401371699731],[-89.94042301943858,44.54013329641042],[-89.94042929019585,44.54013358709733],[-89.94115341325157,44.54010399689447],[-89.94116053897639,44.54002395193474],[-89.94116139406329,44.54001504210617],[-89.94116175034948,44.54001058715466],[-89.94116880481552,44.540001967934145],[-89.94116923235887,44.53999751301795],[-89.94117628682352,44.53998896565162],[-89.9411829137437,44.53998480134411],[-89.94118954066272,44.539980637035846],[-89.94119659512364,44.53997201780811],[-89.9412032220403,44.53996785349792],[-89.94120992021297,44.53996368922354],[-89.94122239021215,44.5399642704763],[-89.94122901712436,44.539960106163925],[-89.94124191465988,44.539956160637175],[-89.94124818528333,44.53995645128029],[-89.94126065527007,44.53995703252897],[-89.94126692589046,44.53995732317106],[-89.94161059707403,44.53997294805151],[-89.94168890778388,44.539869369915536],[-89.9416955346155,44.53986520556769],[-89.94170216144599,44.539861041219105],[-89.94170885953154,44.53985687690599],[-89.94171548635973,44.53985271255589],[-89.94172211318676,44.53984854820502],[-89.94173501055653,44.539844674470544],[-89.94174163738019,44.539840510117834],[-89.94174833545884,44.539836345800595],[-89.94176080528304,44.53983685513897],[-89.94176707582169,44.53983714575439],[-89.94229123222306,44.53979846422637],[-89.94233035127577,44.539362667150996],[-89.9388943492608,44.539340478977905]]]}"
2_027c0000000000001878,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.94577972532552,44.53930499621087],[-89.94414987756261,44.53936047839456],[-89.94414268114133,44.53944052464018],[-89.94414232488282,44.53944497965523],[-89.94414154111406,44.53945381779148],[-89.94414075734531,44.53946272778393],[-89.94413405968434,44.53946689227448],[-89.94412700576356,44.539475511776395],[-89.9441266495049,44.53947996678808],[-89.94411375293917,44.53948384082237],[-89.94410705527349,44.53948800530947],[-89.94410007259953,44.539496624840595],[-89.94409380244223,44.53949633435092],[-89.94356817436135,44.53969124211762],[-89.94356147660041,44.53969540655436],[-89.9435490073615,44.53969482555316],[-89.94354238085003,44.53969899002356],[-89.94352984035208,44.53969848084271],[-89.9435173711029,44.53969789983811],[-89.94351110085036,44.53969760931775],[-89.94349863159508,44.53969702831109],[-89.94252295324334,44.53952322255326],[-89.9424894635145,44.53989679274763],[-89.9426287663434,44.53995219256674],[-89.94263460921314,44.53995693805991],[-89.94264672247687,44.53996197411876],[-89.94265256534388,44.539966719610035],[-89.94265840821001,44.53997146510053],[-89.94266425107524,44.53997613873317],[-89.94266973766739,44.539985339181214],[-89.9426755805309,44.53999008466894],[-89.94267479673219,44.53999899454937],[-89.94268063959493,44.540003668178436],[-89.94267985579633,44.54001257805631],[-89.94271583926138,44.54059025098257],[-89.94352748900826,44.54056457001884],[-89.94353995825416,44.54056515101172],[-89.943546228502,44.5405654415252],[-89.94483951646289,44.54069562776939],[-89.94575151084514,44.54067005122135],[-89.94577972532552,44.53930499621087]]]}"
2_027c000000000000187a,1,0.02,"{""type"":""Polygon"",""coordinates"":[[[-89.96243853122795,44.54005136815414],[-89.96208856583884,44.540035516243655],[-89.96208236984161,44.54003522676593],[-89.96206983540736,44.54003464776232],[-89.9620636394071,44.54003443014055],[-89.96205153227726,44.54002939614288],[-89.96204562114777,44.540024651623504],[-89.96203315791995,44.540024072639326],[-89.96148299139486,44.53972230424671],[-89.96010194958393,44.53973124511085],[-89.96008948572376,44.53973066591149],[-89.96008321818113,44.53973037629891],[-89.96007075431487,44.53972979709751],[-89.96006484287975,44.539725124303125],[-89.96005237900752,44.53972454509965],[-89.9600465387917,44.53971980047113],[-89.960040698575,44.53971505584185],[-89.96002859080585,44.539710021596086],[-89.9600227505864,44.539705348822395],[-89.96001683914386,44.53970060416559],[-89.96001099892263,44.53969585953285],[-89.96001185358921,44.5396869494996],[-89.960005942145,44.53968220484037],[-89.96000052925552,44.539673077044625],[-89.9600008853667,44.53966862200124],[-89.96000174003349,44.53965971196289],[-89.96000209614465,44.539655256918216],[-89.96001163992257,44.53954855164006],[-89.95990395178313,44.53949009364368],[-89.959726465115,44.540562640831126],[-89.96081900643742,44.54048261241955],[-89.96082527385968,44.540482901987254],[-89.96083773748047,44.54048348109729],[-89.96242485742661,44.54055529383929],[-89.9625537612974,44.540516533670875],[-89.96258004054158,44.540223008556694],[-89.96243853122795,44.54005136815414]]]}"
